defect_id,production_id,defect_type,defect_qty
155,1546,Crack,1
156,11838,Crack,5
157,4832,Misalignment,9
158,11400,Discoloration,9
159,14493,Misalignment,8
160,17397,Misalignment,6
161,7955,Discoloration,9
162,7535,Discoloration,3
163,2669,Dent,9
164,12283,Dent,8
165,3242,Dent,1
166,878,Discoloration,9
167,17583,Scratch,8
168,15434,Misalignment,8
169,454,Dent,6
170,18528,Scratch,9
171,11778,Misalignment,8
172,6346,Scratch,2
173,7205,Crack,6
174,12379,Crack,8
175,12947,Misalignment,6
176,19443,Scratch,9
177,19241,Scratch,5
178,9104,Discoloration,8
179,14589,Dent,2
180,10964,Misalignment,5
181,441,Scratch,1
182,996,Dent,5
183,2112,Misalignment,7
184,4101,Scratch,1
185,11922,Crack,3
186,6216,Scratch,6
187,3469,Crack,1
188,12905,Crack,3
189,6474,Discoloration,8
190,15908,Discoloration,9
191,12032,Dent,7
192,16100,Misalignment,4
193,4461,Dent,7
194,12795,Discoloration,7
195,8715,Dent,7
196,1760,Misalignment,8
197,250,Misalignment,4
198,4345,Scratch,4
199,13581,Dent,9
200,15190,Discoloration,8
201,6592,Scratch,4
202,10323,Dent,6
203,7709,Misalignment,9
204,11671,Discoloration,6
205,6483,Dent,5
206,12186,Misalignment,7
207,8451,Misalignment,2
208,9340,Dent,8
209,905,Dent,7
210,15822,Discoloration,6
211,18524,Scratch,3
212,5144,Misalignment,9
213,19563,Scratch,2
214,4148,Scratch,4
215,15047,Misalignment,2
216,2348,Dent,6
217,14681,Misalignment,7
218,17976,Scratch,9
219,18626,Discoloration,6
220,14772,Misalignment,6
221,14721,Discoloration,5
222,751,Dent,4
223,13684,Dent,4
224,8431,Discoloration,4
225,6536,Discoloration,5
226,19080,Misalignment,1
227,6157,Dent,2
228,4637,Discoloration,3
229,15026,Crack,7
230,9509,Misalignment,1
231,18689,Misalignment,3
232,108,Crack,7
233,1605,Dent,6
234,18293,Discoloration,2
235,18615,Discoloration,4
236,7922,Dent,1
237,19979,Crack,5
238,2922,Crack,2
239,1741,Crack,8
240,15096,Misalignment,6
241,2819,Discoloration,1
242,17738,Scratch,2
243,6141,Misalignment,4
244,10639,Misalignment,3
245,6018,Discoloration,9
246,6994,Dent,1
247,17127,Discoloration,7
248,15900,Dent,9
249,7006,Discoloration,9
250,7629,Misalignment,6
251,18947,Crack,7
252,17645,Misalignment,8
253,12469,Misalignment,3
254,14852,Scratch,5
255,13200,Misalignment,4
256,14440,Misalignment,9
257,2335,Misalignment,9
258,6231,Scratch,4
259,15433,Dent,2
260,603,Scratch,1
261,15670,Crack,3
262,15035,Dent,2
263,16827,Scratch,5
264,19692,Crack,6
265,7842,Crack,9
266,10825,Discoloration,4
267,5857,Discoloration,4
268,12160,Misalignment,4
269,19686,Dent,1
270,2302,Scratch,3
271,14074,Misalignment,4
272,3567,Dent,1
273,15559,Discoloration,5
274,18861,Scratch,9
275,14061,Crack,1
276,7121,Crack,7
277,18774,Misalignment,2
278,18215,Misalignment,9
279,6541,Scratch,4
280,5546,Crack,3
281,8055,Misalignment,7
282,18651,Crack,6
283,8788,Discoloration,8
284,3463,Misalignment,9
285,15857,Dent,7
286,12382,Misalignment,6
287,9860,Discoloration,8
288,17490,Scratch,9
289,12628,Crack,8
290,2856,Scratch,6
291,6504,Misalignment,8
292,14325,Dent,9
293,18544,Scratch,6
294,4399,Dent,6
295,14130,Misalignment,2
296,14231,Dent,9
297,6025,Dent,8
298,8893,Discoloration,5
299,3792,Scratch,3
300,4757,Misalignment,9
301,9993,Discoloration,7
302,18292,Dent,9
303,13593,Discoloration,7
304,1137,Discoloration,8
305,623,Dent,5
306,7246,Misalignment,6
307,19281,Crack,8
308,15296,Discoloration,7
309,4969,Scratch,1
310,5424,Dent,4
311,1416,Crack,8
312,6798,Discoloration,9
313,18447,Dent,6
314,19072,Dent,4
315,4263,Discoloration,2
316,1689,Scratch,9
317,4159,Dent,1
318,8395,Dent,5
319,15911,Discoloration,8
320,1125,Crack,4
321,18835,Dent,1
322,13453,Dent,4
323,6491,Discoloration,5
324,8979,Dent,5
325,9168,Discoloration,1
326,4930,Scratch,2
327,4289,Discoloration,6
328,19331,Crack,5
329,10392,Dent,9
330,7916,Scratch,7
331,12674,Dent,5
332,14264,Dent,9
333,19421,Discoloration,1
334,4076,Dent,3
335,13390,Scratch,2
336,12460,Misalignment,7
337,3668,Dent,9
338,11132,Discoloration,2
339,13743,Crack,6
340,8797,Dent,2
341,18921,Discoloration,3
342,666,Dent,1
343,19302,Misalignment,6
344,1233,Misalignment,2
345,11980,Scratch,3
346,8544,Misalignment,6
347,9954,Discoloration,6
348,19280,Misalignment,4
349,7425,Discoloration,1
350,6363,Dent,7
351,15840,Scratch,2
352,4539,Scratch,6
353,13963,Misalignment,7
354,6645,Crack,2
355,4351,Misalignment,6
356,70,Crack,1
357,7170,Misalignment,6
358,4085,Discoloration,8
359,13069,Discoloration,8
360,13139,Crack,7
361,8321,Scratch,4
362,1507,Crack,4
363,12281,Dent,5
364,1649,Scratch,8
365,14112,Crack,4
366,3168,Dent,9
367,18933,Dent,3
368,1480,Misalignment,9
369,5524,Crack,2
370,8,Discoloration,6
371,16604,Misalignment,5
372,8917,Scratch,5
373,13990,Discoloration,6
374,6918,Dent,7
375,2050,Scratch,4
376,3786,Misalignment,4
377,7658,Dent,9
378,8963,Dent,4
379,17124,Dent,8
380,10210,Discoloration,1
381,13643,Misalignment,4
382,16894,Misalignment,2
383,18380,Discoloration,5
384,1015,Misalignment,2
385,19486,Dent,7
386,17307,Dent,7
387,9984,Dent,9
388,5428,Misalignment,4
389,8213,Crack,5
390,17449,Scratch,3
391,13810,Crack,7
392,18284,Discoloration,5
393,3544,Crack,9
394,17351,Crack,7
395,13620,Discoloration,4
396,3575,Crack,7
397,41,Scratch,1
398,6982,Misalignment,2
399,16647,Discoloration,3
400,13606,Crack,5
401,8146,Dent,5
402,9225,Dent,7
403,1820,Discoloration,9
404,15359,Dent,9
405,16512,Scratch,6
406,18963,Crack,7
407,12813,Scratch,8
408,16377,Scratch,4
409,16139,Misalignment,7
410,19596,Crack,6
411,9086,Discoloration,8
412,2807,Dent,1
413,2280,Misalignment,5
414,5688,Scratch,3
415,12376,Dent,9
416,18172,Crack,9
417,10441,Scratch,3
418,15748,Scratch,2
419,10601,Crack,5
420,16364,Discoloration,4
421,2180,Misalignment,7
422,8369,Crack,8
423,3124,Dent,4
424,5666,Dent,3
425,8214,Scratch,9
426,17037,Misalignment,8
427,3391,Discoloration,7
428,8360,Discoloration,8
429,9065,Dent,8
430,1782,Discoloration,8
431,7084,Dent,1
432,17986,Misalignment,4
433,19266,Scratch,7
434,1864,Dent,6
435,722,Misalignment,3
436,7243,Dent,3
437,11529,Crack,4
438,7854,Dent,6
439,16627,Misalignment,1
440,6906,Discoloration,4
441,4639,Dent,9
442,4373,Scratch,7
443,17838,Misalignment,6
444,4172,Discoloration,5
445,14374,Misalignment,2
446,12606,Dent,2
447,15688,Crack,6
448,3502,Crack,9
449,1187,Scratch,9
450,1382,Scratch,1
451,14251,Discoloration,7
452,12617,Crack,7
453,15774,Dent,2
454,18289,Misalignment,4
455,11859,Misalignment,8
456,12226,Crack,6
457,11720,Crack,7
458,1753,Misalignment,6
459,1955,Discoloration,9
460,538,Misalignment,9
461,18775,Scratch,6
462,15746,Dent,6
463,9383,Crack,9
464,3937,Crack,9
465,17880,Discoloration,3
466,6217,Scratch,7
467,3371,Misalignment,3
468,1260,Scratch,4
469,5827,Scratch,9
470,3031,Discoloration,8
471,4696,Discoloration,6
472,97,Misalignment,6
473,12766,Misalignment,8
474,13310,Dent,2
475,18879,Scratch,5
476,19131,Misalignment,7
477,4044,Discoloration,3
478,13587,Dent,8
479,5140,Dent,3
480,16969,Discoloration,4
481,14763,Misalignment,6
482,17338,Discoloration,6
483,2898,Misalignment,2
484,7529,Discoloration,2
485,2031,Discoloration,3
486,15670,Crack,3
487,16978,Misalignment,4
488,1832,Scratch,4
489,14363,Crack,4
490,9869,Crack,3
491,6600,Crack,1
492,112,Crack,9
493,4471,Scratch,2
494,13627,Crack,3
495,2174,Scratch,2
496,3079,Scratch,6
497,1384,Crack,6
498,6722,Dent,1
499,3971,Scratch,4
500,16746,Crack,5
501,5079,Discoloration,6
502,2812,Discoloration,5
503,19207,Misalignment,3
504,14325,Scratch,3
505,14007,Scratch,3
506,13942,Discoloration,6
507,14732,Scratch,4
508,13625,Scratch,4
509,906,Discoloration,3
510,18267,Crack,4
511,492,Discoloration,8
512,13716,Dent,3
513,14713,Discoloration,3
514,8733,Discoloration,6
515,2887,Crack,1
516,12608,Discoloration,6
517,14561,Discoloration,9
518,16840,Crack,3
519,651,Discoloration,2
520,17689,Crack,3
521,13796,Dent,3
522,19994,Crack,2
523,8996,Scratch,4
524,3385,Scratch,8
525,4705,Crack,7
526,11033,Discoloration,9
527,11255,Misalignment,8
528,16103,Misalignment,7
529,9506,Dent,6
530,19030,Dent,3
531,2054,Misalignment,4
532,19899,Misalignment,8
533,310,Crack,2
534,15192,Misalignment,6
535,5122,Scratch,1
536,6898,Dent,7
537,15606,Dent,4
538,9807,Scratch,1
539,9015,Dent,5
540,9520,Misalignment,5
541,16442,Dent,6
542,1249,Scratch,8
543,16902,Dent,4
544,18462,Misalignment,7
545,18542,Crack,4
546,6385,Misalignment,2
547,16131,Dent,8
548,3674,Discoloration,5
549,5150,Dent,4
550,18898,Dent,2
551,6609,Scratch,7
552,10477,Discoloration,5
553,17779,Scratch,9
554,18090,Scratch,7
555,9365,Misalignment,9
556,18806,Crack,5
557,8792,Dent,6
558,19889,Discoloration,8
559,18684,Dent,6
560,17881,Scratch,4
561,6707,Crack,2
562,14872,Scratch,6
563,11310,Dent,9
564,6772,Misalignment,8
565,16239,Dent,3
566,2659,Scratch,5
567,11892,Discoloration,6
568,2324,Discoloration,7
569,2896,Discoloration,2
570,1532,Discoloration,6
571,11359,Discoloration,2
572,15506,Crack,8
573,12955,Crack,7
574,782,Misalignment,2
575,1426,Discoloration,4
576,4929,Scratch,7
577,2552,Scratch,9
578,10516,Dent,3
579,12614,Discoloration,8
580,557,Scratch,9
581,8705,Misalignment,8
582,11411,Scratch,4
583,6439,Misalignment,4
584,5787,Discoloration,7
585,4152,Dent,4
586,13200,Dent,7
587,6094,Crack,9
588,15586,Discoloration,9
589,19284,Scratch,9
590,5017,Dent,6
591,6510,Misalignment,1
592,12289,Misalignment,8
593,2961,Scratch,6
594,8917,Scratch,7
595,17691,Discoloration,2
596,17144,Scratch,3
597,14203,Scratch,6
598,16611,Scratch,3
599,8500,Dent,5
600,19763,Discoloration,4
601,10037,Scratch,5
602,5209,Scratch,8
603,7443,Misalignment,4
604,10861,Dent,9
605,7046,Scratch,3
606,16248,Dent,7
607,7625,Discoloration,7
608,18164,Discoloration,1
609,13185,Crack,3
610,16970,Misalignment,1
611,17763,Crack,8
612,12550,Dent,5
613,12983,Misalignment,4
614,6930,Scratch,3
615,6421,Misalignment,7
616,12003,Misalignment,8
617,4032,Discoloration,8
618,7443,Crack,1
619,6361,Discoloration,7
620,18232,Discoloration,5
621,17426,Crack,2
622,4840,Discoloration,8
623,11678,Misalignment,2
624,7352,Dent,6
625,16627,Scratch,5
626,5546,Scratch,6
627,2101,Discoloration,8
628,9442,Crack,9
629,1738,Misalignment,3
630,10111,Discoloration,3
631,19139,Misalignment,7
632,17777,Misalignment,3
633,8440,Scratch,5
634,12301,Dent,4
635,19817,Dent,9
636,13651,Crack,8
637,7785,Dent,9
638,18466,Discoloration,6
639,9540,Scratch,2
640,13863,Scratch,8
641,16517,Misalignment,1
642,11816,Discoloration,5
643,1855,Discoloration,2
644,11137,Misalignment,7
645,5078,Misalignment,5
646,5341,Scratch,3
647,606,Discoloration,7
648,12899,Dent,3
649,13372,Dent,6
650,14977,Scratch,4
651,16516,Dent,2
652,12681,Dent,9
653,13101,Discoloration,6
654,6158,Discoloration,5
655,16046,Crack,5
656,17188,Discoloration,8
657,11460,Crack,5
658,13226,Discoloration,8
659,3634,Misalignment,8
660,2677,Discoloration,1
661,1216,Crack,4
662,18862,Dent,9
663,15861,Discoloration,2
664,2265,Dent,4
665,970,Dent,4
666,6629,Discoloration,1
667,601,Discoloration,7
668,4456,Misalignment,1
669,9525,Crack,5
670,2717,Discoloration,8
671,12709,Dent,4
672,17166,Dent,5
673,1435,Discoloration,3
674,14853,Crack,5
675,4339,Dent,3
676,14966,Misalignment,4
677,2703,Dent,3
678,8652,Crack,5
679,16190,Scratch,2
680,16916,Misalignment,9
681,1978,Misalignment,3
682,13838,Scratch,1
683,11470,Misalignment,5
684,14061,Misalignment,4
685,291,Misalignment,2
686,6078,Dent,8
687,19960,Dent,9
688,10668,Discoloration,6
689,6615,Discoloration,8
690,16897,Dent,2
691,1640,Misalignment,6
692,8447,Crack,1
693,4817,Scratch,3
694,19022,Discoloration,7
695,18350,Misalignment,1
696,16435,Discoloration,6
697,800,Crack,7
698,9940,Misalignment,3
699,6643,Dent,8
700,16621,Crack,8
701,16856,Discoloration,5
702,2205,Misalignment,2
703,7182,Misalignment,2
704,6260,Scratch,5
705,8331,Scratch,4
706,14411,Scratch,4
707,17768,Dent,5
708,11288,Misalignment,1
709,18097,Misalignment,7
710,3797,Discoloration,3
711,18758,Dent,8
712,18084,Scratch,9
713,10329,Misalignment,8
714,4111,Scratch,2
715,19757,Crack,7
716,15678,Dent,4
717,10076,Scratch,5
718,5582,Dent,5
719,10509,Misalignment,9
720,18771,Crack,2
721,8584,Discoloration,2
722,169,Crack,3
723,19593,Dent,5
724,9378,Crack,4
725,13057,Misalignment,9
726,19112,Dent,3
727,19894,Dent,1
728,16160,Misalignment,5
729,13557,Scratch,8
730,4721,Discoloration,1
731,18098,Crack,1
732,2513,Discoloration,6
733,13835,Discoloration,7
734,6679,Misalignment,8
735,2679,Scratch,8
736,282,Discoloration,3
737,4927,Dent,4
738,16814,Scratch,9
739,10821,Misalignment,5
740,16006,Discoloration,9
741,15842,Misalignment,5
742,19597,Crack,5
743,4633,Misalignment,9
744,11138,Dent,6
745,10510,Misalignment,3
746,12177,Scratch,5
747,19048,Crack,1
748,9128,Dent,9
749,10535,Crack,7
750,1689,Dent,1
751,9075,Crack,4
752,10712,Discoloration,2
753,817,Misalignment,3
754,3867,Scratch,4
755,13168,Scratch,2
756,678,Discoloration,1
757,10447,Crack,4
758,13816,Misalignment,9
759,18874,Discoloration,9
760,7233,Crack,9
761,10507,Misalignment,3
762,2447,Crack,1
763,18273,Scratch,1
764,1721,Misalignment,3
765,224,Scratch,8
766,12953,Scratch,4
767,935,Misalignment,8
768,1309,Discoloration,7
769,13498,Crack,8
770,8418,Misalignment,2
771,200,Scratch,8
772,15245,Crack,9
773,15858,Misalignment,6
774,5075,Discoloration,3
775,15363,Misalignment,7
776,6934,Misalignment,9
777,17982,Dent,8
778,16389,Crack,8
779,16275,Misalignment,7
780,8472,Scratch,5
781,7591,Scratch,2
782,3020,Dent,5
783,5358,Scratch,5
784,18749,Misalignment,2
785,16511,Crack,1
786,10989,Dent,5
787,4827,Dent,6
788,3250,Discoloration,7
789,11894,Discoloration,2
790,19424,Crack,6
791,17,Crack,8
792,7084,Dent,6
793,5076,Misalignment,3
794,12567,Misalignment,3
795,12740,Discoloration,7
796,10906,Crack,2
797,12894,Crack,3
798,10004,Misalignment,7
799,12389,Discoloration,9
800,14989,Misalignment,1
801,6231,Misalignment,5
802,8662,Dent,2
803,1325,Crack,5
804,3278,Dent,6
805,1625,Dent,8
806,7250,Misalignment,7
807,16503,Discoloration,5
808,7304,Misalignment,5
809,7941,Discoloration,2
810,10197,Crack,6
811,6521,Scratch,3
812,2476,Crack,6
813,2768,Misalignment,3
814,9620,Discoloration,2
815,16627,Scratch,8
816,5081,Discoloration,4
817,12231,Discoloration,5
818,13736,Scratch,9
819,8208,Scratch,4
820,4612,Crack,1
821,8115,Dent,6
822,6704,Scratch,5
823,19167,Dent,3
824,6164,Dent,5
825,18208,Dent,8
826,16066,Dent,1
827,4924,Scratch,4
828,8203,Discoloration,3
829,8471,Scratch,4
830,11135,Scratch,2
831,12621,Misalignment,2
832,5521,Misalignment,2
833,2086,Crack,3
834,17491,Dent,9
835,8224,Dent,5
836,14328,Misalignment,4
837,18233,Discoloration,4
838,3609,Crack,3
839,13198,Discoloration,9
840,12333,Misalignment,1
841,2678,Discoloration,6
842,294,Dent,4
843,19581,Misalignment,8
844,17956,Discoloration,7
845,12455,Crack,3
846,16653,Crack,5
847,15554,Scratch,4
848,19727,Misalignment,4
849,5178,Misalignment,8
850,880,Misalignment,9
851,16443,Dent,4
852,10690,Dent,2
853,3892,Misalignment,1
854,16601,Discoloration,4
855,5701,Dent,8
856,7650,Misalignment,5
857,12805,Dent,2
858,10504,Scratch,4
859,6385,Crack,4
860,17118,Scratch,5
861,5349,Misalignment,2
862,5572,Crack,7
863,7075,Discoloration,5
864,10695,Misalignment,4
865,12832,Discoloration,8
866,15201,Discoloration,2
867,18806,Dent,1
868,19762,Dent,6
869,15547,Crack,8
870,7105,Crack,7
871,16349,Dent,9
872,16496,Crack,1
873,10733,Scratch,3
874,2470,Misalignment,9
875,18583,Scratch,5
876,11461,Misalignment,6
877,15615,Dent,7
878,11346,Scratch,3
879,70,Discoloration,7
880,5957,Scratch,3
881,14762,Crack,6
882,9618,Scratch,8
883,6075,Dent,7
884,2573,Dent,5
885,1655,Crack,6
886,18644,Misalignment,4
887,16486,Crack,2
888,9924,Misalignment,7
889,5709,Dent,4
890,1362,Dent,6
891,12517,Misalignment,2
892,19645,Scratch,2
893,17507,Scratch,6
894,1958,Crack,8
895,10152,Dent,1
896,13242,Scratch,7
897,13332,Dent,6
898,17315,Crack,5
899,2890,Discoloration,8
900,15016,Dent,1
901,13870,Discoloration,5
902,7140,Dent,6
903,1759,Misalignment,4
904,8082,Discoloration,2
905,4342,Misalignment,8
906,8147,Misalignment,5
907,472,Crack,6
908,3181,Crack,9
909,10553,Scratch,2
910,7817,Discoloration,5
911,17529,Scratch,1
912,16483,Discoloration,3
913,494,Crack,6
914,2158,Crack,8
915,4580,Crack,5
916,18562,Discoloration,4
917,9616,Crack,5
918,13128,Scratch,4
919,8698,Misalignment,2
920,12498,Discoloration,1
921,8553,Misalignment,8
922,8346,Scratch,1
923,16005,Dent,2
924,16917,Crack,5
925,15720,Scratch,8
926,10204,Dent,3
927,2358,Discoloration,9
928,10976,Scratch,6
929,14064,Discoloration,3
930,1970,Misalignment,7
931,4972,Misalignment,7
932,10540,Discoloration,7
933,12629,Misalignment,4
934,17019,Misalignment,6
935,2602,Crack,3
936,17577,Discoloration,4
937,15640,Discoloration,3
938,608,Dent,3
939,6422,Crack,1
940,5259,Scratch,5
941,3066,Crack,3
942,7867,Scratch,1
943,7254,Discoloration,9
944,5571,Crack,4
945,18422,Dent,9
946,18570,Misalignment,2
947,10771,Scratch,2
948,7506,Misalignment,4
949,1180,Discoloration,4
950,10113,Discoloration,5
951,9525,Discoloration,1
952,14417,Misalignment,5
953,19129,Discoloration,2
954,2261,Discoloration,5
955,6121,Misalignment,6
956,3499,Discoloration,3
957,19798,Scratch,4
958,5479,Crack,5
959,5799,Scratch,6
960,8098,Discoloration,9
961,16590,Discoloration,9
962,15696,Discoloration,6
963,5381,Discoloration,1
964,18194,Misalignment,6
965,8940,Crack,3
966,13165,Misalignment,5
967,10635,Misalignment,5
968,16303,Discoloration,4
969,14037,Scratch,3
970,9954,Scratch,1
971,13069,Dent,7
972,12567,Crack,8
973,18681,Dent,5
974,4929,Misalignment,8
975,5935,Dent,4
976,17323,Dent,8
977,12812,Dent,3
978,4556,Crack,8
979,6539,Scratch,6
980,6557,Scratch,9
981,18549,Dent,5
982,6122,Crack,1
983,19258,Scratch,8
984,1451,Discoloration,3
985,5106,Scratch,5
986,5637,Scratch,2
987,1204,Crack,7
988,7053,Crack,5
989,19409,Scratch,7
990,18440,Discoloration,7
991,2192,Discoloration,5
992,14611,Dent,5
993,12575,Dent,9
994,10730,Scratch,3
995,9858,Scratch,8
996,5691,Scratch,1
997,19396,Discoloration,4
998,7620,Misalignment,2
999,8332,Dent,3
1000,2449,Dent,6
1001,725,Misalignment,4
1002,12452,Scratch,1
1003,16488,Dent,5
1004,4048,Discoloration,3
1005,63,Misalignment,2
1006,2063,Discoloration,4
1007,19950,Scratch,4
1008,6585,Dent,3
1009,15848,Discoloration,5
1010,14647,Misalignment,5
1011,12265,Scratch,8
1012,4834,Dent,7
1013,9983,Dent,9
1014,14292,Scratch,7
1015,16514,Scratch,2
1016,3016,Scratch,3
1017,15826,Discoloration,6
1018,5291,Crack,1
1019,17311,Dent,8
1020,1981,Discoloration,7
1021,5526,Misalignment,6
1022,1820,Dent,5
1023,5108,Crack,5
1024,12737,Misalignment,8
1025,11481,Dent,8
1026,4784,Crack,3
1027,2896,Scratch,9
1028,18141,Crack,3
1029,18712,Dent,8
1030,10321,Crack,7
1031,19581,Dent,9
1032,3654,Dent,9
1033,15950,Crack,1
1034,11354,Crack,1
1035,10620,Misalignment,3
1036,13148,Misalignment,7
1037,6255,Discoloration,3
1038,4260,Dent,3
1039,415,Misalignment,4
1040,6338,Discoloration,8
1041,8147,Dent,1
1042,13788,Discoloration,4
1043,15021,Misalignment,4
1044,10261,Discoloration,8
1045,19255,Crack,7
1046,6253,Discoloration,4
1047,399,Scratch,8
1048,8321,Scratch,3
1049,17435,Discoloration,7
1050,2953,Scratch,9
1051,16728,Discoloration,6
1052,9617,Discoloration,4
1053,604,Discoloration,4
1054,13607,Scratch,1
1055,9783,Dent,6
1056,7037,Discoloration,3
1057,4829,Discoloration,3
1058,6584,Crack,1
1059,2149,Crack,7
1060,6045,Misalignment,9
1061,17132,Scratch,3
1062,3357,Dent,7
1063,5189,Discoloration,9
1064,386,Discoloration,3
1065,15812,Scratch,9
1066,4234,Misalignment,2
1067,6247,Misalignment,3
1068,1736,Crack,4
1069,18942,Scratch,7
1070,13687,Misalignment,9
1071,4823,Misalignment,1
1072,1179,Dent,9
1073,14423,Crack,5
1074,880,Crack,4
1075,17890,Crack,6
1076,17391,Misalignment,5
1077,5298,Discoloration,5
1078,3658,Misalignment,5
1079,10498,Misalignment,8
1080,16657,Scratch,8
1081,2896,Crack,4
1082,3096,Crack,9
1083,17991,Dent,8
1084,2448,Crack,6
1085,6497,Misalignment,2
1086,1325,Scratch,9
1087,10250,Dent,6
1088,19507,Misalignment,8
1089,18114,Misalignment,6
1090,5355,Dent,5
1091,19107,Misalignment,7
1092,2895,Misalignment,4
1093,16129,Scratch,3
1094,14796,Scratch,7
1095,1962,Scratch,2
1096,12617,Crack,3
1097,4863,Dent,1
1098,19060,Scratch,1
1099,18324,Misalignment,2
1100,16398,Crack,1
1101,15226,Dent,2
1102,13015,Scratch,1
1103,17130,Scratch,3
1104,14516,Dent,9
1105,10203,Scratch,9
1106,14641,Dent,8
1107,4571,Dent,9
1108,7710,Misalignment,4
1109,2947,Dent,8
1110,12812,Discoloration,5
1111,3183,Scratch,4
1112,19871,Misalignment,4
1113,6565,Crack,2
1114,1908,Discoloration,9
1115,3992,Dent,9
1116,18032,Crack,1
1117,2664,Crack,4
1118,8128,Crack,9
1119,1883,Crack,4
1120,16713,Misalignment,2
1121,4368,Misalignment,2
1122,12463,Crack,9
1123,10398,Discoloration,4
1124,12429,Scratch,1
1125,5601,Scratch,1
1126,18551,Misalignment,1
1127,382,Discoloration,8
1128,11785,Discoloration,1
1129,15025,Dent,5
1130,9626,Misalignment,9
1131,3882,Discoloration,4
1132,8109,Discoloration,9
1133,12437,Scratch,5
1134,10397,Discoloration,9
1135,6748,Discoloration,2
1136,18584,Crack,8
1137,19917,Scratch,7
1138,2730,Scratch,7
1139,8788,Crack,3
1140,8039,Scratch,2
1141,3911,Dent,1
1142,3497,Dent,1
1143,11312,Misalignment,7
1144,7503,Scratch,9
1145,3801,Scratch,1
1146,8163,Dent,4
1147,19021,Misalignment,2
1148,11263,Misalignment,8
1149,2824,Dent,9
1150,1493,Dent,3
1151,19701,Crack,3
1152,10502,Misalignment,7
